condition_concept_name	organ_type
Propofol infusion syndrome	
Atrioventricular septal defect	
Infusion site oedema	
Infusion site vesicles	
Infusion site warmth	
Hepatic vein dilatation	
Corynebacterium sepsis	
Meningococcal sepsis	
Serratia sepsis	
Genital candidiasis	
Fungal abscess central nervous system	
Trichosporon infection	
Mediastinitis	
Intercepted medication error	
Reperfusion injury	
Vasoplegia syndrome	
Agitation postoperative	
Difficult to wean from ventilator	
Cardiac index decreased	
Cardiac index increased	
Right atrial pressure increased	
Biopsy heart	
Brain natriuretic peptide abnormal	
Airway peak pressure increased	
Feeding disorder of infancy or early childhood	
Nasopharyngeal cancer	
Postpartum disorder	
Hand amputation	
Intestinal anastomosis	
Cord blood transplant therapy	
Refractory cytopenia with unilineage dysplasia	
Device computer issue	
Retroperitoneal cancer	
Nipple infection	
Pneumonia lipoid	
Victim of child abuse	
Symblepharon	
Metastases to eye	
Fracture reduction	
Trisomy 21	
Foetal valproate syndrome	
Hyperandrogenism	
Oculogyric crisis	
Atrophic glossitis	
Infantile spasms	
Self esteem inflated	
Coma blister	
Head banging	
Conjunctival bleb	
Iris hypopigmentation	
Blepharal pigmentation	
Pulmonary veno-occlusive disease	Pulmonary
Mineral supplementation	
Infusion	
Pulmonary endarterectomy	
Drug titration error	
Babesiosis	
Leukoerythroblastic anaemia	
Factor X deficiency	
Haemophilia	
Von Willebrand's disease	
Hyperglobulinaemia	
Leukostasis	
Systemic mastocytosis	
Haematopoietic neoplasm	
Acute chest syndrome	
Thalassaemia beta	
Thalassaemia trait	
Haemoglobinaemia	
Glucose-6-phosphate dehydrogenase deficiency	
Leukaemic infiltration extramedullary	
Hodgkin's disease recurrent	
Malignant lymphoid neoplasm	
Mantle cell lymphoma recurrent	
Mantle cell lymphoma stage IV	
Splenic marginal zone lymphoma	
Mycosis fungoides recurrent	
Reticulocytopenia	
Lymph node abscess	
Lymphangioleiomyomatosis	
Thymus enlargement	
Eosinophilic cystitis	
Hepatic infiltration eosinophilic	Hepatic
Postural orthostatic tachycardia syndrome	
Somatoform disorder cardiovascular	
Cardiac valve fibroelastoma	Cardiac
Cardiac valve rupture	Cardiac
Tricuspid valve prolapse	Cardiac
Hypoplastic right heart syndrome	
DiGeorge's syndrome	
Multiple cardiac defects	
VACTERL syndrome	
Endocarditis enterococcal	
Endocardial fibroelastosis	
Neonatal cardiac failure	
Arrhythmogenic right ventricular dysplasia	
Viral cardiomyopathy	
Atrial septal defect acquired	
Cardiac sarcoidosis	
Chordae tendinae rupture	Cardiac
Pleuropericarditis	
Cardiac ventricular thrombosis	Cardiac
Myocardial necrosis	Cardiac
Congenital atrial septal defect	
Congenital ventricular septal defect	
Cerebral arteriovenous malformation haemorrhagic	
Chromosomal deletion	
Fragile X syndrome	
Klinefelter's syndrome	
Foetal anticonvulsant syndrome	
Foetal cystic hygroma	
Hamartoma	
Hereditary optic atrophy	
MELAS syndrome	
Anotia	
Diabetic foetopathy	
Duane's syndrome	
Optic nerve hypoplasia	
Retinitis pigmentosa	
Abdominal wall anomaly	
Muir-Torre syndrome	
Vitello-intestinal duct remnant	
Congenital oesophageal anomaly	
Oesophageal atresia	
Cystic fibrosis pancreatic	
Metabolic myopathy	
Porphyria acute	
Mucopolysaccharidosis II	
Congenital jaw malformation	
Microgenia	
Micrognathia	
Pierre Robin syndrome	
Camptodactyly congenital	
Congenital flat feet	
Femoral anteversion	
Polydactyly	
Craniosynostosis	
Congenital torticollis	
Spine malformation	
Rib hypoplasia	
Congenital joint malformation	
Congenital spinal cord anomaly	
Hepato-lenticular degeneration	
Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	
Holoprosencephaly	
Microencephaly	
Periventricular nodular heterotopia	
Porencephaly	
Peroneal muscular atrophy	
Congenital nose malformation	
Bronchogenic cyst	
Cystic fibrosis lung	
Congenital nail disorder	
Congenital acrochordon	
Pilonidal cyst congenital	
Skin hypoplasia	
Chromosome abnormality	
Ear canal erythema	
Middle ear inflammation	
Tympanosclerosis	
Adrenal gland injury	
Neuroblastoma	
Diabetic amyotrophy	
Diabetic neuropathic ulcer	
Anovulatory cycle	
Insulin resistant diabetes	
Growth accelerated	
Secondary hypogonadism	
Carcinoid tumour of the small bowel	
Hyperparathyroidism tertiary	
Euthyroid sick syndrome	
Corneal striae	
Pigment dispersion syndrome	
Eyelash thickening	
Eyelid retraction	
Corneal decompensation	
Corneal infiltrates	
Corneal bleeding	
Optic disc haemorrhage	
Acute haemorrhagic conjunctivitis	
Adenoviral conjunctivitis	
Dacryoadenitis acquired	
Swollen tear duct	
Eye infection viral	
Ocular sarcoidosis	
Chorioretinitis	
Necrotising retinitis	
Blindness traumatic	
Chemical burns of eye	
Thermal burns of eye	
Optic pathway injury	
Intraocular melanoma	
Conjunctival neoplasm	
IIIrd nerve disorder	
Miller Fisher syndrome	
Saccadic eye movement	
Hypoaesthesia eye	
Eye luxation	
Retinal pigmentation	
Erythropsia	
Toxic optic neuropathy	
Optic neuritis retrobulbar	
Colpocele	
Internal hernia	
Umbilical hernia perforation	
Anal injury	
Anogenital dysplasia	
Rectal spasm	
Benign gastrointestinal neoplasm	
Benign small intestinal neoplasm	
Pericoronitis	
Tooth malformation	
Radicular cyst	
Hypoaesthesia teeth	
Pancreatic duct obstruction	
Gastrointestinal disorder postoperative	
Vasculitis gastrointestinal	
Oesophageal fistula	
Achlorhydria	
Colonic haematoma	
Anal infection	
Cytomegalovirus duodenitis	
Gastritis viral	
Taeniasis	
Giardiasis	
Herpes oesophagitis	
Allergic colitis	
Jejunitis	
Diarrhoea neonatal	
Post procedural diarrhoea	
Colonic atony	
Abdominal rebound tenderness	
Malignant dysphagia	
Vomiting psychogenic	
Distal intestinal obstruction syndrome	
Duodenal scarring	
Gastric ulcer helicobacter	
Gastrointestinal ulcer perforation	
Gastrointestinal gangrene	
Gastrointestinal mucosal necrosis	
Coeliac artery compression syndrome	
Neoplasm of appendix	
Anal cancer stage 0	
Anal cancer stage III	
Metastases to rectum	
Metastases to salivary gland	
Hand-foot-and-mouth disease	
Oral bacterial infection	
Burning mouth syndrome	
Peritoneal perforation	
Peritoneal haematoma	
Auriculotemporal syndrome	
Parotid gland inflammation	
Hypergeusia	
Rectal cramps	
Parasitic infection intestinal	
Intestinal spasm	
Dumping syndrome	
Volvulus of bowel	
Peritoneal carcinoma	
Herpetic stomatitis	
Application site abscess	
Application site alopecia	
Application site anaesthesia	
Application site hyperaesthesia	
Application site induration	
Application site mass	
Catheter site oedema	
Catheter site rash	
Implant site erythema	
Implant site irritation	
Implant site pruritus	
Implant site scar	
Implant site swelling	
Implant site warmth	
Infusion site abscess	
Infusion site cyst	
Infusion site mass	
Infusion site scar	
Infusion site thrombosis	
Infusion site ulcer	
Injection site dryness	
Injection site dysaesthesia	
Injection site erosion	
Injection site joint pain	
Delirium febrile	
Severe acute respiratory syndrome	
Agonal death struggle	
Electrocution	
Maternal death affecting foetus	
Macrosomia	
Premature ageing	
Erythroplasia	
Mucosal atrophy	
Mucosal excoriation	
Mucosal exfoliation	
Scleroedema	
Paradoxical pain	
Product barcode issue	
Product container seal issue	
Capsule issue	
Product reconstitution issue	
Drug chemical incompatibility	
Application site bruising	
Injection site desquamation	
Cholestasis of pregnancy	
Hyperbilirubinaemia neonatal	
Liver graft loss	
Traumatic liver injury	
Biliary fibrosis	
Hepatic candidiasis	
Hepatic artery occlusion	Hepatic
Portopulmonary hypertension	
Hepatic neoplasm malignant non-resectable	Hepatic
Allergy to arthropod bite	
Type II hypersensitivity	
Pulmonary renal syndrome	
Still's disease adult onset	
Scleroderma renal crisis	
Pulmonary amyloidosis	Pulmonary
Fibrillary glomerulonephritis	
Multiple chemical sensitivity	
Polyneuropathy in malignant disease	
HIV wasting syndrome	
Viral hepatitis carrier	
Air-borne transmission	
Anthrax	
Sinusitis bacterial	
Necrotising fasciitis staphylococcal	
Infestation	
Aspergilloma	
Hepatosplenic candidiasis	
Nail candida	
Neurocryptococcosis	
Cerebral fungal infection	
Encephalitis fungal	
Fungal cystitis	
Geotrichum infection	
Mycetoma mycotic	
Pyelonephritis fungal	
Upper respiratory fungal infection	
Wound infection fungal	
Neurocysticercosis	
Encephalitic infection	
Tubo-ovarian abscess	
Infected neoplasm	
Peripheral nerve infection	
Scrotal infection	
Testicular abscess	
Infective myositis	
Acinetobacter bacteraemia	
Bacteroides bacteraemia	
Rhinolaryngitis	
Ureteritis	
Phlebitis infective	
St. Louis encephalitis	
Herpes zoster infection neurological	
Vulvovaginal human papilloma virus infection	
AIDS dementia complex	
Human T-cell lymphotropic virus type I infection	
Rubella	
Urinary tract infection viral	
Pulmonary coccidioides	
Laryngotracheo bronchitis	
Bursa injury	
Accidental poisoning	
Nail toxicity	
Venom poisoning	
Aortic injury	
Silicosis	
Sternal injury	
Nerve root injury	
Nerve root injury lumbar	
Traumatic amputation	
Traumatic shock	
Lumbosacral plexus injury	
Peroneal nerve injury	
Haematuria traumatic	
Renal haematoma	Renal
Genital injury	
Penis injury	
Uterine injury	
Vaginal laceration	
Breast injury	
Needle track marks	
Autonomic dysreflexia	
Radiation fibrosis - lung	
Intercepted drug administration error	
Radiation exposure	
Arteriovenous graft thrombosis	
Device electrical finding	
Device lead damage	
Medical device site reaction	
Joint dislocation postoperative	
Mental status changes postoperative	
Procedural dizziness	
Complications of bone marrow transplant	
Obstetric procedure complication	
Post-thoracotomy pain syndrome	
Ureteric perforation	
Urostomy complication	
Transmission of drug via semen	
Post procedural inflammation	
Stoma site reaction	
Pulmonary arterial wedge pressure decreased	
Pulmonary arterial wedge pressure increased	
Venous pressure jugular	
Venous pressure jugular abnormal	
Carotid pulse increased	
Arterial bruit	
Ankle brachial index decreased	
Cytogenetic analysis abnormal	
Metanephrine urine increased	
Vanillyl mandelic acid urine increased	
Blood corticotrophin increased	
Blood gonadotrophin increased	
Blood prolactin decreased	
Androgens decreased	
Blood human chorionic gonadotropin abnormal	
Blood human chorionic gonadotropin positive	
Sex hormone binding globulin decreased	
Blood lactate dehydrogenase	
Blood amylase	
Blood amylase abnormal	
Occult blood negative	
Pus in stool	
Stomach scan abnormal	
Biopsy intestine	
Spleen scan abnormal	
Anti factor VIII antibody positive	
Anti factor X antibody positive	
Antithrombin III increased	
Bleeding time shortened	
Blood fibrinogen abnormal	
Blood thromboplastin decreased	
Coagulation factor IX level decreased	
Fibrinolysis increased	
Protein S decreased	
Von Willebrand's factor antigen decreased	
Blood erythropoietin abnormal	
Mean platelet volume abnormal	
Red blood cell macrocytes present	
Band neutrophil percentage decreased	
CD4 lymphocytes abnormal	
Lymphocyte transformation test positive	
Ammonia	
Ammonia abnormal	
Bile output abnormal	
Blood bilirubin	
Leucine aminopeptidase increased	
Transaminases decreased	
Anti-GAD antibody positive	
Cold agglutinins	
Complement factor increased	
Blood immunoglobulin G	
Immunology test	
Tryptase	
Scintigraphy	
APACHE II score increased	
False negative laboratory result	
Total cholesterol/HDL ratio increased	
Very low density lipoprotein decreased	
Carnitine decreased	
Lipids decreased	
Anion gap	
Blood lactic acid abnormal	
Oxygen consumption	
Carbohydrate tolerance decreased	
Glucose tolerance decreased	
Blood methaemoglobin present	
Coproporphyrinogen increased	
Porphyrins urine increased	
Atrial natriuretic peptide increased	
Vitamin C decreased	
Vitamin E decreased	
Bacteria urine no organism observed	
Fungus serology test positive	
Antimicrobial susceptibility test resistant	
Culture stool negative	
Serology positive	
False positive tuberculosis test	
Parasite blood test positive	
Anti-HBc IgG antibody positive	
Blood HIV RNA increased	
Hepatitis C RNA positive	
Mononucleosis heterophile test positive	
Synovial fluid analysis abnormal	
Acoustic stimulation tests abnormal	
Spinal myelogram	
Spinal myelogram abnormal	
CSF glucose abnormal	
CSF glucose increased	
CSF lymphocyte count abnormal	
CSF neutrophil count increased	
CSF pressure increased	
CSF protein decreased	
Nerve stimulation test abnormal	
Visual evoked potentials abnormal	
Psychiatric evaluation	
Psychiatric evaluation abnormal	
Head lag	
Intelligence test abnormal	
Medical observation	
Murphy's sign positive	
Rectal examination abnormal	
Alpha globulin increased	
Alpha-1 acid glycoprotein increased	
Epidermal growth factor receptor decreased	
Creatine urine decreased	
Glomerular filtration rate	
Albumin urine	
Specific gravity urine decreased	
Urine analysis	
Urine output	
Cystoscopy	
Total lung capacity abnormal	Pulmonary
Bronchoscopy	
Chest X-ray	
Antidepressant drug level	
Antidepressant drug level below therapeutic	
Drug half-life reduced	
Blood alcohol abnormal	
Blood caffeine increased	
Blood cannabinoids	
Blood cannabinoids increased	
Blood carbon monoxide	
Blood carbon monoxide abnormal	
Blood lead increased	
Breath alcohol test positive	
Fluoride increased	
Lead urine increased	
Electrocardiogram QT corrected interval	
Weight below normal	
Copper deficiency	
Iron metabolism disorder	
Catabolic state	
Hypercatabolism	
Feeding problem in newborn	
Atlantoaxial instability	
Myositis ossificans	
Diaphragm muscle weakness	
Neuralgic amyotrophy	
Toe walking	
Benign mesothelioma	
Bone giant cell tumour benign	
Fibromatosis	
Xanthogranuloma	
Ewing's sarcoma	
Synovial sarcoma metastatic	
Chondrosis	
Ligamentitis	
Spinal ligament ossification	
Lower limb deformity	
Naevus haemorrhage	
Basosquamous carcinoma	
Mucoepidermoid carcinoma	
Cerebral haemangioma	
Anaplastic astrocytoma	
Malignant oligodendroglioma	
Medulloblastoma	
Neurilemmoma malignant	
Central nervous system neoplasm	
Glioma	
Pineal neoplasm	
Renal adenoma	Renal
Ureteral polyp	
Bladder squamous cell carcinoma stage unspecified	
Genitourinary tract neoplasm	
Ovarian cyst torsion	
Bartholin's cyst	
Vaginal polyp	
Cervix carcinoma stage 0	
Cervix carcinoma stage III	
Endometrial sarcoma	
Borderline ovarian tumour	
Vaginal neoplasm	
Seminoma	
Nasal cyst	
Laryngeal neoplasm	
Thymoma malignant	
Lung adenocarcinoma stage I	Pulmonary
Pharyngeal neoplasm	
Respiratory tract neoplasm	
Lung infiltration malignant	Pulmonary
Malignant melanoma stage III	
Sebaceous carcinoma	
Sarcoma uterus	
CNS ventriculitis	
Encephalitis toxic	
Cerebellar artery occlusion	
Lateral medullary syndrome	
Precerebral artery occlusion	
Blood brain barrier defect	
Dural fistula	
IVth nerve paresis	
Hypoglossal nerve disorder	
Marburg's variant multiple sclerosis	
Primary progressive multiple sclerosis	
Progressive relapsing multiple sclerosis	
Chronic paroxysmal hemicrania	
Exertional headache	
Postictal headache	
SUNCT syndrome	
Basilar migraine	
Status migrainosus	
Presenile dementia	
Dementia with Lewy bodies	
Frontotemporal dementia	
Mild mental retardation	
Micrographia	
Hoffmann's sign	
Oculocephalogyric reflex absent	
Developmental coordination disorder	
Intelligence increased	
Symbolic dysfunction	
Central nervous system mass	
Inability to crawl	
Post-anoxic myoclonus	
Intranasal paraesthesia	
Hyperpathia	
Intranasal hypoaesthesia	
Thermoanaesthesia	
Bladder sphincter atony	
Radial tunnel syndrome	
Ulnar nerve palsy	
Ulnar tunnel syndrome	
Psychomotor seizures	
Eclampsia	
Frontal lobe epilepsy	
Confusional arousal	
Central-alveolar hypoventilation	
Upper airway resistance syndrome	
Cervical neuritis	
Cervical root pain	
Hippocampal sclerosis	
Analgesic effect	
Imminent abortion	
Maternal condition affecting foetus	
Foetal macrosomia	
Foetal malnutrition	
Labour complication	
Complication of pregnancy	
Postmature baby	
Weight decrease neonatal	
Hypoventilation neonatal	
Umbilical cord around neck	
Umbilical cord vascular disorder	
Amniorrhexis	
Delivery	
Pregnancy with injectable contraceptive	
Unwanted pregnancy	
Foetal movements decreased	
Anxiety disorder due to a general medical condition	
Anticipatory anxiety	
Acrophobia	
Fear of needles	
Noctiphobia	
Performance fear	
Phobic avoidance	
Social fear	
Conduct disorder	
Change in sustained attention	
Behavioural and psychiatric symptoms of dementia	
Morose	
Autism spectrum disorder	
Childhood disintegrative disorder	
Hallucination, synaesthetic	
Somatic hallucination	
Ideas of reference	
Illogical thinking	
Obsessive rumination	
Intermittent explosive disorder	
Onychophagia	
Attention-seeking behaviour	
Inferiority complex	
Avoidant personality disorder	
Histrionic personality disorder	
Psychopathic personality	
Schizoid personality disorder	
Personality change due to a general medical condition	
Delusional disorder, somatic type	
Shared psychotic disorder	
Schizoaffective disorder depressive type	
Paraphilia	
Female sexual dysfunction	
Munchausen's syndrome	
Self mutilation	
Cystitis ulcerative	
Automatic bladder	
Contracted bladder	
Malignant renal hypertension	
Urethral discharge	
Faecaluria	
Urethral stricture	
Mammary duct ectasia	
Breast induration	
Uterine cervical laceration	
Bartholinitis	
Artificial menopause	
Penile blister	
Penile vascular disorder	
Scrotal ulcer	
Varicocele	
Aspermia	
Testicular haemorrhage	
Pelvic congestion	
Vaginal erosion	
Clitoral engorgement	
Genital pain male	
Fibrinous bronchitis	
Yellow nail syndrome	
Bronchospasm paradoxical	
Reversible airways obstruction	
Granulomatous pneumonitis	
Pulmonary pneumatocele	Pulmonary
Respiratory depth increased	
Respiratory fremitus	
Thoracic haemorrhage	
Mediastinal haemorrhage	
Laryngeal obstruction	
Vasomotor rhinitis	
Nasal odour	
Adenoidal disorder	
Tracheal pain	
Lichen myxoedematosus	
Itching scar	
Fixed eruption	
Rash maculovesicular	
Cafe au lait spots	
Umbilical haemorrhage	
Oily skin	
Mid-life crisis	
Homeless	
Exposure to extreme temperature	
Water pollution	
Occupational exposure to dust	
Parent-child problem	
High risk sexual behaviour	
Sexual activity increased	
Burglary victim	
Crime	
Sexual abuse	
Shoplifting	
Theft	
Abstains from alcohol	
Hearing disability	
Sight disability	
Maternal use of illicit drugs	
Substance abuser	
Educational problem	
Ex-tobacco user	
Murder	
Drug addict	
Bone lesion excision	
Temporomandibular joint surgery	
Metatarsal excision	
Simple mastectomy	
Cardiac pacemaker removal	
Pacemaker generated rhythm	
Cardiac rehabilitation therapy	
Atrial septal defect repair	
Hormone replacement therapy	
Ophthalmic fluid drainage	
Eye muscle operation	
Retinal laser coagulation	
Anal fissure excision	
Rectocele repair	
Gastric ulcer surgery	
Roux loop conversion	
Oesophageal operation	
Pancreatobiliary sphincterotomy	
Haemostasis	
Orthodontic procedure	
Cerumen removal	
Plastic surgery to the face	
Radical neck dissection	
Cautery to nose	
Rhinoplasty	
Uvulopalatopharyngoplasty	
Radical prostatectomy	
Trigeminal nerve ablation	
Neurectomy	
Neurostimulator implantation	
Brain lobectomy	
Cerebral decompression	
Cerebrovascular operation	
Craniotomy	
Subdural haematoma evacuation	
Spinal cord operation	
Cervix cerclage procedure	
Intra-uterine contraceptive device insertion	
Fallopian tube operation	
Forceps delivery	
Uterine operation	
Vaginal operation	
Vaginoplasty	
Drug rehabilitation	
Cystocele repair	
Urethral repair	
Lung lobectomy	
Sternotomy	
Thoracic operation	
Thoracotomy	
Bilevel positive airway pressure	
Cartilage graft	
Epidural anaesthesia	
Enteral nutrition	
Parenteral nutrition	
Alcohol detoxification	
Drug withdrawal maintenance therapy	
Prophylaxis of nausea and vomiting	
Detoxification	
Drug therapy	
Patient restraint	
Sleep disorder therapy	
Supplementation therapy	
Withdrawal of life support	
Carotid artery bypass	
Phlebectomy	
Total hysterectomy	
Tendon repair	
Femoral artery dissection	
Peripheral artery dissection	
Arterial spasm	
Visceral arterial ischaemia	
Paradoxical embolism	
Venous recanalisation	
Exsanguination	
Extravasation blood	
Angiosclerosis	
Prehypertension	
Venous valve ruptured	
Methylenetetrahydrofolate reductase polymorphism	
Richter's syndrome	
Bandaemia	
Neuroendocrine carcinoma metastatic	
Diffuse lamellar keratitis	
Detachment of macular retinal pigment epithelium	
Chemical burn of gastrointestinal tract	
Large intestinal ulcer perforation	
Catheter site abscess	
Stiff person syndrome	
Undifferentiated connective tissue disease	
Device extrusion	
Device component issue	
Device deposit issue	
Gait apraxia	
Product distribution issue	
Product quality control issue	
Allergic hepatitis	
Leuconostoc infection	
Viral sepsis	
Infected fistula	
Multiple use of single-use product	
Intercepted drug prescribing error	
Exposure via direct contact	
Exposure via partner	
Dialysis related complication	
Meniscus cyst	
Chemical burn of respiratory tract	
Muscle oedema	
Subgaleal haematoma	
Capillary nail refill test abnormal	
Enzyme level increased	
Human antichimeric antibody positive	
Hepatitis B surface antibody positive	
Human rhinovirus test positive	
Parvovirus B19 test positive	
Actinomyces test positive	
Antibiotic resistant Staphylococcus test	
Citrobacter test positive	
Adenovirus test positive	
Tumour perforation	
Painful ejaculation	
Urogenital atrophy	
Lower urinary tract symptoms	
Urinary straining	
Ovarian cancer stage III	
Acral lentiginous melanoma	
Hypoglossal nerve paralysis	
Cold-stimulus headache	
Fingerprint loss	
Writer's cramp	
Solar lentigo	
Orthostatic tremor	
Hand-eye coordination impaired	
Neuropsychiatric syndrome	
Heavy exposure to ultraviolet light	
CSF volume increased	
Seizure cluster	
Neonatal behavioural syndrome	
Critical illness myopathy	
Vanishing twin syndrome	
Plantar fascial fibromatosis	
Perineal ulceration	
Autophobia	
Binge drinking	
Plasma cell leukaemia	
Corneal irritation	
Diastasis recti abdominis	
Infusion site bruising	
Vessel puncture site bruise	
Portal vein dilatation	
Gallbladder neoplasm	
Device use error	
Pneumonia Pseudomonas aeruginosa	
Herpes simplex encephalitis	
Squamous cell carcinoma of head and neck	
Squamous cell carcinoma of the hypopharynx	
Muscle tone disorder	
Decerebrate posture	
Soft tissue cancer	
HER-2 positive breast cancer	
Lobular breast carcinoma in situ	
Neutrophilic dermatosis	
Diffuse alopecia	
Oesophageal compression	
Herpes zoster meningoencephalitis	
Herpes zoster cutaneous disseminated	
Stoma site ulcer	
Anticoagulation drug level increased	
Language disorder	
Disease susceptibility	
Incision site swelling	
Bone marrow infiltration	
Internal haemorrhage	
Unable to afford prescribed medication	
Purpura fulminans	
Bone marrow granuloma	
Diffuse large B-cell lymphoma recurrent	
Atypical mycobacterial lymphadenitis	
Splenic infection	
Splenic necrosis	
Meningitis eosinophilic	
Acute endocarditis	
Endocarditis candida	
Myocardiac abscess	Cardiac
Pericarditis tuberculous	
Mutagenic effect	
Anterior chamber cell	
Corneal abscess	
Dysbacteriosis	
Echinococciasis	
Schistosomiasis	
Necrotising enterocolitis neonatal	
Intestinal ulcer perforation	
Acute phase reaction	
Tuberculosis liver	
Nephritis autoimmune	
Jarisch-Herxheimer reaction	
Actinomycotic pulmonary infection	
Cystitis bacterial	
Rhodococcus infection	
Tuberculous abscess central nervous system	
Brucellosis	
Sinusitis aspergillus	
Mycotic aneurysm	
Sporotrichosis	
Intrauterine infection	
Genital infection	
Mediastinal abscess	
Pharyngeal abscess	
Mycobacterium abscessus infection	
Mycobacterium chelonei infection	
Lepromatous leprosy	
Tuberculoid leprosy	
Tuberculoma of central nervous system	
Tuberculosis bladder	
Human herpesvirus 7 infection	
Choriomeningitis lymphocytic	
Delayed engraftment	
Blood stem cell transplant failure	
Blood thrombin increased	
Bilirubin conjugated	
Antineutrophil cytoplasmic antibody	
Pathology test	
Lactate pyruvate ratio increased	
CSF bacteria identified	
CSF culture positive	
Acid fast stain positive	
Parasite stool test positive	
Viral mutation identified	
Crystal urine	
Biopsy bronchus abnormal	
Antibiotic level below therapeutic	
Drug half-life increased	
Pallanaesthesia	
Delusion of reference	
Hyperuricosuria	
Vulvar erosion	
Mesenteric abscess	
Type 2 lepra reaction	
Sensitisation	
HIV associated nephropathy	
Immune reconstitution inflammatory syndrome associated tuberculosis	
Atypical mycobacterial pneumonia	
Mycobacterium chelonae infection	
Mycobacterium tuberculosis complex test negative	
T-cell lymphoma recurrent	
Angioimmunoblastic T-cell lymphoma recurrent	
Adenoviral haemorrhagic cystitis	
Portal vein flow decreased	
Signet-ring cell carcinoma	
Brain stem glioma	
Bone marrow necrosis	
Bone marrow transplant rejection	
Thalassaemia alpha	
Leukaemia cutis	
Leukaemic infiltration pulmonary	
Acute biphenotypic leukaemia	
5q minus syndrome	
Lymphoplasmacytoid lymphoma/immunocytoma	
Platelet destruction increased	
Basophilia	
Conjoined twins	
Glycogen storage disease type I	
Mucopolysaccharidosis	
Cerebellar hypoplasia	
Neuroblastoma recurrent	
Eye infection toxoplasmal	
Parophthalmia	
Benign neoplasm of eye	
Bacterial diarrhoea	
Jejunal perforation	
Mucosal hyperaemia	
Gallbladder abscess	
Peliosis hepatis	
Kawasaki's disease	
AIDS related complication	
Iatrogenic infection	
Stomatococcal infection	
Chest wall abscess	
Pharyngotonsillitis	
Genitourinary tract infection	
Metapneumovirus infection	
Epiphysiolysis	
Pulmonary air leakage	Pulmonary
Endoscopy gastrointestinal abnormal	
Megakaryocytes decreased	
Red cell distribution width decreased	
Eosinophil count	
Myeloblast count increased	
Polymerase chain reaction	
Spleen palpable	
Blood copper decreased	
Collagen-vascular disease	
Pleural mesothelioma	
Malignant transformation	
Clonal evolution	
Thymic cancer metastatic	
Moyamoya disease	
Subdural effusion	
Partial seizures with secondary generalisation	
Normal delivery	
Vaginal stricture	
Adenoidal hypertrophy	
Pharyngeal erosion	
Biliary sphincterotomy	
Spleen operation	
Transurethral bladder resection	
Palliative care	
Portal anastomosis	
Lymphohistiocytosis	
Haemoglobinopathy	
Warm type haemolytic anaemia	
Leukaemic infiltration hepatic	
Primary effusion lymphoma	
Precursor T-lymphoblastic lymphoma/leukaemia recurrent	
Chronic granulomatous disease	
Plasma cell disorder	
5q-syndrome	
Mitral valve disease mixed	
Interruption of aortic arch	
External auditory canal atresia	
Microtia	
Balint's syndrome	
Chorioretinal disorder	
Eye infection intraocular	
Scleromalacia	
Oral papilloma	
Cryptosporidiosis infection	
Superior mesenteric artery syndrome	
Gingival cancer	
Intestinal stoma complication	
Pneumatosis cystoides intestinalis	
Febrile nonhaemolytic transfusion reaction	
Enzyme inhibition	
Porcelain gallbladder	
Primary amyloidosis	
Progressive massive fibrosis	
Laryngitis bacterial	
Peptostreptococcus infection	
Capnocytophaga infection	
Meningitis meningococcal	
Mycotoxicosis	
Superinfection fungal	
Bacterial toxaemia	
Thrombophlebitis septic	
Acne pustular	
Radiation fibrosis	
Arteriovenous graft site haemorrhage	
Brachiocephalic vein stenosis	
Anastomotic haemorrhage	
Graft ischaemia	
Venogram	
Coombs indirect test positive	
Fibrin increased	
Anti-erythropoietin antibody	
Erythroid series abnormal	
Red blood cell nucleated morphology present	
Plasma cells decreased	
Interleukin-2 receptor increased	
Light chain analysis abnormal	
Biopsy mucosa abnormal	
Hepatitis C virus test	
Viral load	
Pseudohyperkalaemia	
Osteodystrophy	
Connective tissue inflammation	
Metastases to nasal sinuses	
Metastases to prostate	
Superior vena cava stenosis	
Nephroblastoma	Renal
Lower motor neurone lesion	
Cerebral parenchymal calcification	
Haemorrhage foetal	
Testicular oedema	
Ostectomy	
Autologous bone marrow transplantation therapy	
Apicectomy	
Jaw lesion excision	
Liver operation	
Uterine dilation and evacuation	
Empyema drainage	
Exploratory operation	
Noninfectious peritonitis	
Viral titre increased	
Central nervous system haemorrhage	
Immune tolerance induction	
Limb amputation	
Subretinal fluid	
Hepatic cancer recurrent	Hepatic
Latent autoimmune diabetes in adults	
Anaemia of pregnancy	
Subacute combined cord degeneration	
Congenital anaemia	
Congenital aplastic anaemia	
Disseminated large cell lymphoma	
Lymphoma AIDS related	
Plasmablastic lymphoma	
Eosinophilic pustular folliculitis	
Arrhythmia neonatal	
Foetal heart rate disorder	
Congenital mitral valve incompetence	
Congenital pulmonary valve atresia	
Congenital pulmonary valve disorder	
Congenital tricuspid valve incompetence	
Double outlet right ventricle	
Trisomy 18	
Ventricular hypoplasia	Cardiac
Congenital pulmonary artery anomaly	
Congenital aortic anomaly	
Autosomal chromosome anomaly	
Wolf-Hirschhorn syndrome	
Chromosomal mutation	
Congenital cyst	
Congenital teratoma	
Congenital mitochondrial cytopathy	
Mitochondrial DNA deletion	
Mitochondrial DNA depletion	
Accessory auricle	
Congenital hearing disorder	
Adrenogenital syndrome	
Eyelid ptosis congenital	
Prominent epicanthal folds	
